rng_name, rands/second, Seed,,,
AES_OFB, 4.33e+07, 2790930429,,,

-,-,-,-,-,-

test_name, ntup, tsamples, psamples, p-value, Assessment
diehard_birthdays, 0, 100, 76900, 0.00000088, FAILED
diehard_operm5, 0, 1000000, 100000, 0.19558738, PASSED
diehard_rank_32x32, 0, 40000, 100000, 0.45992019, PASSED
diehard_rank_6x8, 0, 100000, 100000, 0.00028349, WEAK
diehard_bitstream, 0, 2097152, 100000, 0.62755648, PASSED
diehard_opso, 0, 2097152, 100000, 0.06504321, PASSED
diehard_oqso, 0, 2097152, 100000, 0.00449299, WEAK
diehard_dna, 0, 2097152, 3900, 0.00000074, FAILED
diehard_count_1s_str, 0, 256000, 100000, 0.00017919, WEAK
diehard_count_1s_byt, 0, 256000, 100000, 0.00215823, WEAK
diehard_parking_lot, 0, 12000, 40400, 0.00000082, FAILED
diehard_2dsphere, 2, 8000, 100000, 0.19486649, PASSED
diehard_3dsphere, 3, 4000, 100000, 0.40794753, PASSED
diehard_squeeze, 0, 100000, 100000, 0.71322061, PASSED
diehard_sums, 0, 100, 900, 0.00000096, FAILED
diehard_runs, 0, 100000, 28000, 0.00184583, WEAK
diehard_craps, 0, 200000, 100000, 0.34282737, PASSED
marsaglia_tsang_gcd, 0, 10000000, 22600, 0.00000076, FAILED
sts_monobit, 1, 100000, 100000, 0.71443608, PASSED
sts_runs, 2, 100000, 100000, 0.48153408, PASSED
sts_serial, 1, 100000, 100000, 0.81573744, PASSED
sts_serial, 2, 100000, 100000, 0.32608630, PASSED
sts_serial, 3, 100000, 100000, 0.38906083, PASSED
sts_serial, 4, 100000, 100000, 0.26240280, PASSED
sts_serial, 5, 100000, 100000, 0.91108860, PASSED
sts_serial, 6, 100000, 100000, 0.21208659, PASSED
sts_serial, 7, 100000, 100000, 0.67186400, PASSED
sts_serial, 8, 100000, 100000, 0.92082453, PASSED
sts_serial, 9, 100000, 100000, 0.85050622, PASSED
sts_serial, 10, 100000, 100000, 0.48480643, PASSED
sts_serial, 11, 100000, 100000, 0.49897305, PASSED
sts_serial, 12, 100000, 100000, 0.90518220, PASSED
sts_serial, 13, 100000, 100000, 0.31616098, PASSED
sts_serial, 14, 100000, 100000, 0.64494874, PASSED
sts_serial, 15, 100000, 100000, 0.72607975, PASSED
sts_serial, 16, 100000, 100000, 0.64982805, PASSED
rgb_bitdist, 1, 100000, 100000, 0.52274681, PASSED
rgb_bitdist, 2, 100000, 100000, 0.42612676, PASSED
rgb_bitdist, 3, 100000, 100000, 0.09287426, PASSED
rgb_bitdist, 4, 100000, 100000, 0.66163399, PASSED
rgb_bitdist, 5, 100000, 100000, 0.52626037, PASSED
rgb_bitdist, 6, 100000, 100000, 0.64414258, PASSED
rgb_bitdist, 7, 100000, 100000, 0.18519714, PASSED
rgb_bitdist, 8, 100000, 100000, 0.52083669, PASSED
rgb_bitdist, 9, 100000, 100000, 0.05708554, PASSED
rgb_bitdist, 10, 100000, 100000, 0.17531606, PASSED
rgb_bitdist, 11, 100000, 100000, 0.00004498, WEAK
rgb_bitdist, 12, 100000, 100000, 0.00005649, WEAK
rgb_minimum_distance, 2, 10000, 100000, 0.70706395, PASSED
rgb_minimum_distance, 3, 10000, 100000, 0.29583637, PASSED
rgb_minimum_distance, 4, 10000, 100000, 0.00008098, WEAK
rgb_minimum_distance, 5, 10000, 38300, 0.00000085, FAILED
rgb_permutations, 2, 100000, 100000, 0.09432353, PASSED
rgb_permutations, 3, 100000, 100000, 0.30308556, PASSED
rgb_permutations, 4, 100000, 100000, 0.88339959, PASSED
rgb_permutations, 5, 100000, 100000, 0.19366112, PASSED
rgb_lagged_sum, 0, 1000000, 100000, 0.56418919, PASSED
rgb_lagged_sum, 1, 1000000, 100000, 0.68673034, PASSED
rgb_lagged_sum, 2, 1000000, 100000, 0.58790134, PASSED
rgb_lagged_sum, 3, 1000000, 100000, 0.68637408, PASSED
rgb_lagged_sum, 4, 1000000, 100000, 0.13473270, PASSED
rgb_lagged_sum, 5, 1000000, 100000, 0.32179236, PASSED
rgb_lagged_sum, 6, 1000000, 100000, 0.16765706, PASSED
rgb_lagged_sum, 7, 1000000, 100000, 0.23565461, PASSED
